Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
730-50-9884,Giza,Naypyitaw,Member,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,2:31:00 PM,Ewallet,581.42,4.761904762,29.071,4.0
152-08-9985,Cairo,Mandalay,Member,Female,Health and beauty,64.36,9,28.962,608.202,2019-03-12,12:09:00 PM,Credit card,579.24,4.761904762,28.962,8.6
766-85-7061,Cairo,Mandalay,Member,Female,Health and beauty,87.87,10,43.935,922.635,2019-03-29,10:25:00 AM,Ewallet,878.7,4.761904762,43.935,5.1
733-01-9107,Cairo,Mandalay,Member,Female,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,6:14:00 PM,Cash,496.2,4.761904762,24.81,7.4
189-98-2939,Giza,Naypyitaw,Member,Female,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,1:22:00 PM,Cash,706.95,4.761904762,35.3475,7.2
704-48-3927,Alex,Yangon,Member,Female,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,2:50:00 PM,Ewallet,886.7,4.761904762,44.335,7.3
861-77-0145,Giza,Naypyitaw,Member,Female,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,2:30:00 PM,Cash,819.7,4.761904762,40.985,9.2
227-78-1148,Cairo,Mandalay,Member,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,12:44:00 PM,Cash,509.88,4.761904762,25.494,8.4
645-44-1170,Alex,Yangon,Member,Female,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,8:07:00 PM,Ewallet,522.63,4.761904762,26.1315,4.3
237-01-6122,Giza,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,8:31:00 PM,Credit card,727.11,4.761904762,36.3555,9.5
638-60-7125,Alex,Yangon,Member,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,5:03:00 PM,Credit card,796.48,4.761904762,39.824,5.2
219-22-9386,Cairo,Mandalay,Member,Female,Sports and travel,99.96,9,44.982,944.622,2019-03-09,5:26:00 PM,Credit card,899.64,4.761904762,44.982,4.2
336-78-2147,Giza,Naypyitaw,Member,Female,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,7:52:00 PM,Credit card,511.28,4.761904762,25.564,4.6
668-90-8900,Alex,Yangon,Member,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,6:44:00 PM,Credit card,655.83,4.761904762,32.7915,4.5
663-86-9076,Giza,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,3:57:00 PM,Ewallet,548.32,4.761904762,27.416,8.5
549-84-7482,Cairo,Mandalay,Member,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,11:15:00 AM,Ewallet,812.52,4.761904762,40.626,7.2
802-70-5316,Alex,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,8:34:00 PM,Cash,552.78,4.761904762,27.639,8.3
590-83-4591,Cairo,Mandalay,Member,Female,Electronic accessories,87.45,6,26.235,550.935,2019-02-17,2:40:00 PM,Credit card,524.7,4.761904762,26.235,8.8
483-71-1164,Giza,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,4:43:00 PM,Ewallet,487.8,4.761904762,24.39,5.3
241-72-9525,Cairo,Mandalay,Normal,Female,Sports and travel,51.91,10,25.955,545.055,2019-02-16,12:21:00 PM,Cash,519.1,4.761904762,25.955,8.2
575-30-8091,Alex,Yangon,Normal,Female,Sports and travel,72.5,8,29.0,609.0,2019-03-16,7:25:00 PM,Ewallet,580.0,4.761904762,29.0,9.2
731-81-9469,Giza,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,1:00:00 PM,Credit card,898.0,4.761904762,44.9,5.4
280-17-4359,Giza,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,1:48:00 PM,Cash,905.0,4.761904762,45.25,8.1
338-65-2210,Giza,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,7:57:00 PM,Cash,686.0,4.761904762,34.3,9.1
262-47-2794,Cairo,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,2019-03-06,3:07:00 PM,Credit card,574.88,4.761904762,28.744,6.2
746-94-0204,Alex,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,2019-01-29,11:56:00 AM,Credit card,749.16,4.761904762,37.458,7.4
400-89-4171,Giza,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,680.148,2019-01-28,1:05:00 PM,Cash,647.76,4.761904762,32.388,9.3
743-04-1105,Cairo,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,918.729,2019-03-30,2:43:00 PM,Ewallet,874.98,4.761904762,43.749,6.0
423-57-2993,Cairo,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,588.357,2019-03-27,7:18:00 PM,Ewallet,560.34,4.761904762,28.017,10.0
234-65-2137,Giza,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,2019-01-16,1:32:00 PM,Cash,955.8,4.761904762,47.79,4.8
687-47-8271,Alex,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,2019-02-08,4:20:00 PM,Credit card,989.8,4.761904762,49.49,8.7
105-31-1824,Alex,Yangon,Member,Male,Sports and travel,69.52,7,24.332,510.972,2019-02-01,3:10:00 PM,Credit card,486.64,4.761904762,24.332,8.5
305-14-0245,Cairo,Mandalay,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,2019-03-03,7:00:00 PM,Ewallet,755.92,4.761904762,37.796,7.5
286-43-6208,Giza,Naypyitaw,Normal,Female,Food and beverages,87.8,9,39.51,829.71,2019-03-16,7:08:00 PM,Cash,790.2,4.761904762,39.51,9.2
672-51-8681,Giza,Naypyitaw,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,2019-01-04,6:19:00 PM,Credit card,599.85,4.761904762,29.9925,9.7
817-69-8206,Cairo,Mandalay,Normal,Female,Electronic accessories,99.73,9,44.8785,942.4485,2019-03-02,7:42:00 PM,Credit card,897.57,4.761904762,44.8785,6.5
677-11-0152,Giza,Naypyitaw,Normal,Female,Food and beverages,93.26,9,41.967,881.307,2019-01-16,6:08:00 PM,Cash,839.34,4.761904762,41.967,8.8
549-03-9315,Cairo,Mandalay,Normal,Male,Fashion accessories,94.87,8,37.948,796.908,2019-02-12,12:58:00 PM,Ewallet,758.96,4.761904762,37.948,8.7
836-82-5858,Cairo,Mandalay,Member,Male,Health and beauty,69.37,9,31.2165,655.5465,2019-01-26,7:14:00 PM,Ewallet,624.33,4.761904762,31.2165,4.0
466-61-5506,Cairo,Mandalay,Member,Female,Electronic accessories,90.7,6,27.21,571.41,2019-02-26,10:52:00 AM,Cash,544.2,4.761904762,27.21,5.3
721-86-6247,Alex,Yangon,Normal,Female,Home and lifestyle,63.42,8,25.368,532.728,2019-03-11,12:55:00 PM,Ewallet,507.36,4.761904762,25.368,7.4
418-02-5978,Cairo,Mandalay,Normal,Female,Health and beauty,84.09,9,37.8405,794.6505,2019-02-11,10:54:00 AM,Cash,756.81,4.761904762,37.8405,8.0
157-13-5295,Alex,Yangon,Member,Male,Health and beauty,51.94,10,25.97,545.37,2019-03-09,6:24:00 PM,Ewallet,519.4,4.761904762,25.97,6.5
376-02-8238,Cairo,Mandalay,Normal,Male,Home and lifestyle,93.87,8,37.548,788.508,2019-02-02,6:42:00 PM,Credit card,750.96,4.761904762,37.548,8.3
785-13-7708,Cairo,Mandalay,Normal,Male,Food and beverages,73.06,7,25.571,536.991,2019-01-14,7:06:00 PM,Credit card,511.42,4.761904762,25.571,4.2
850-41-9669,Alex,Yangon,Normal,Female,Electronic accessories,75.06,9,33.777,709.317,2019-03-19,1:25:00 PM,Ewallet,675.54,4.761904762,33.777,6.2
253-12-6086,Alex,Yangon,Member,Female,Sports and travel,98.4,7,34.44,723.24,2019-03-12,12:43:00 PM,Credit card,688.8,4.761904762,34.44,8.7
571-94-0759,Cairo,Mandalay,Member,Female,Food and beverages,74.6,10,37.3,783.3,2019-01-08,8:55:00 PM,Cash,746.0,4.761904762,37.3,9.5
477-24-6490,Cairo,Mandalay,Normal,Female,Health and beauty,99.71,6,29.913,628.173,2019-02-26,4:52:00 PM,Ewallet,598.26,4.761904762,29.913,7.9
537-72-0426,Giza,Naypyitaw,Member,Male,Fashion accessories,70.99,10,35.495,745.395,2019-03-20,4:28:00 PM,Cash,709.9,4.761904762,35.495,5.7
136-08-6195,Alex,Yangon,Normal,Female,Home and lifestyle,69.96,8,27.984,587.664,2019-02-15,5:01:00 PM,Credit card,559.68,4.761904762,27.984,6.4
667-92-0055,Alex,Yangon,Member,Male,Health and beauty,99.83,6,29.949,628.929,2019-03-04,3:02:00 PM,Ewallet,598.98,4.761904762,29.949,8.5
430-60-3493,Alex,Yangon,Member,Female,Home and lifestyle,94.88,7,33.208,697.368,2019-02-03,2:38:00 PM,Cash,664.16,4.761904762,33.208,4.2
411-77-0180,Alex,Yangon,Member,Male,Electronic accessories,72.2,7,25.27,530.67,2019-03-26,8:14:00 PM,Ewallet,505.4,4.761904762,25.27,4.3
803-17-8013,Alex,Yangon,Member,Female,Home and lifestyle,88.79,8,35.516,745.836,2019-02-17,5:09:00 PM,Cash,710.32,4.761904762,35.516,4.1
532-59-7201,Cairo,Mandalay,Member,Male,Sports and travel,79.93,6,23.979,503.559,2019-01-31,2:04:00 PM,Cash,479.58,4.761904762,23.979,5.5
227-07-4446,Giza,Naypyitaw,Member,Female,Electronic accessories,78.13,10,39.065,820.365,2019-02-10,8:51:00 PM,Cash,781.3,4.761904762,39.065,4.4
815-11-1168,Alex,Yangon,Member,Male,Food and beverages,99.78,5,24.945,523.845,2019-03-09,7:09:00 PM,Cash,498.9,4.761904762,24.945,5.4
898-04-2717,Alex,Yangon,Normal,Male,Fashion accessories,76.4,9,34.38,721.98,2019-03-19,3:49:00 PM,Ewallet,687.6,4.761904762,34.38,7.5
873-95-4984,Cairo,Mandalay,Member,Female,Health and beauty,76.9,7,26.915,565.215,2019-02-15,8:21:00 PM,Cash,538.3,4.761904762,26.915,7.7
416-13-5917,Giza,Naypyitaw,Normal,Female,Food and beverages,97.03,5,24.2575,509.4075,2019-01-30,4:24:00 PM,Ewallet,485.15,4.761904762,24.2575,9.3
135-84-8019,Alex,Yangon,Normal,Female,Fashion accessories,77.93,9,35.0685,736.4385,2019-02-27,4:10:00 PM,Ewallet,701.37,4.761904762,35.0685,7.6
725-96-3778,Giza,Naypyitaw,Member,Female,Home and lifestyle,89.25,8,35.7,749.7,2019-01-20,10:13:00 AM,Cash,714.0,4.761904762,35.7,4.7
860-79-0874,Giza,Naypyitaw,Member,Female,Fashion accessories,99.3,10,49.65,1042.65,2019-02-15,2:53:00 PM,Credit card,993.0,4.761904762,49.65,6.6
554-42-2417,Giza,Naypyitaw,Normal,Female,Sports and travel,95.44,10,47.72,1002.12,2019-01-09,1:45:00 PM,Cash,954.4,4.761904762,47.72,5.2
612-36-5536,Alex,Yangon,Member,Male,Food and beverages,80.96,8,32.384,680.064,2019-02-17,11:12:00 AM,Credit card,647.68,4.761904762,32.384,7.4
605-72-4132,Giza,Naypyitaw,Normal,Female,Food and beverages,94.47,8,37.788,793.548,2019-02-27,3:12:00 PM,Cash,755.76,4.761904762,37.788,9.1
667-23-5919,Alex,Yangon,Member,Female,Fashion accessories,96.7,5,24.175,507.675,2019-01-14,12:52:00 PM,Ewallet,483.5,4.761904762,24.175,7.0
743-88-1662,Giza,Naypyitaw,Normal,Male,Sports and travel,95.49,7,33.4215,701.8515,2019-02-22,6:17:00 PM,Ewallet,668.43,4.761904762,33.4215,8.7
868-52-7573,Cairo,Mandalay,Normal,Female,Food and beverages,99.69,5,24.9225,523.3725,2019-01-14,12:09:00 PM,Cash,498.45,4.761904762,24.9225,9.9
394-41-0748,Giza,Naypyitaw,Member,Female,Fashion accessories,54.07,9,24.3315,510.9615,2019-01-27,2:55:00 PM,Ewallet,486.63,4.761904762,24.3315,9.5
308-47-4913,Alex,Yangon,Member,Female,Sports and travel,52.26,10,26.13,548.73,2019-03-09,12:45:00 PM,Credit card,522.6,4.761904762,26.13,6.2
587-03-7455,Giza,Naypyitaw,Member,Female,Fashion accessories,97.79,7,34.2265,718.7565,2019-02-16,5:30:00 PM,Ewallet,684.53,4.761904762,34.2265,4.9
271-88-8734,Giza,Naypyitaw,Member,Female,Fashion accessories,97.21,10,48.605,1020.705,2019-02-08,1:00:00 PM,Credit card,972.1,4.761904762,48.605,8.7
325-77-6186,Alex,Yangon,Member,Female,Home and lifestyle,90.65,10,45.325,951.825,2019-03-08,10:53:00 AM,Ewallet,906.5,4.761904762,45.325,7.3
616-87-0016,Cairo,Mandalay,Normal,Male,Fashion accessories,95.54,7,33.439,702.219,2019-03-09,2:36:00 PM,Credit card,668.78,4.761904762,33.439,9.6
751-69-0068,Giza,Naypyitaw,Normal,Male,Sports and travel,99.24,9,44.658,937.818,2019-03-19,7:09:00 PM,Ewallet,893.16,4.761904762,44.658,9.0
394-30-3170,Cairo,Mandalay,Member,Female,Sports and travel,88.43,8,35.372,742.812,2019-03-22,7:35:00 PM,Credit card,707.44,4.761904762,35.372,4.3
138-17-5109,Alex,Yangon,Member,Female,Home and lifestyle,89.21,9,40.1445,843.0345,2019-01-15,3:42:00 PM,Credit card,802.89,4.761904762,40.1445,6.5
710-46-4433,Cairo,Mandalay,Member,Female,Food and beverages,77.4,9,34.83,731.43,2019-02-15,2:15:00 PM,Credit card,696.6,4.761904762,34.83,4.5
533-33-5337,Cairo,Mandalay,Normal,Male,Electronic accessories,79.39,10,39.695,833.595,2019-02-07,8:24:00 PM,Cash,793.9,4.761904762,39.695,6.2
234-03-4040,Cairo,Mandalay,Member,Female,Food and beverages,73.05,10,36.525,767.025,2019-03-03,12:25:00 PM,Credit card,730.5,4.761904762,36.525,8.7
878-30-2331,Giza,Naypyitaw,Member,Female,Sports and travel,54.55,10,27.275,572.775,2019-03-02,11:22:00 AM,Credit card,545.5,4.761904762,27.275,7.1
767-05-1286,Giza,Naypyitaw,Member,Female,Home and lifestyle,83.77,6,25.131,527.751,2019-01-23,12:10:00 PM,Ewallet,502.62,4.761904762,25.131,5.4
731-59-7531,Cairo,Mandalay,Member,Male,Health and beauty,72.57,8,29.028,609.588,2019-03-30,5:58:00 PM,Cash,580.56,4.761904762,29.028,4.6
541-08-3113,Giza,Naypyitaw,Normal,Male,Food and beverages,65.97,8,26.388,554.148,2019-02-02,8:29:00 PM,Cash,527.76,4.761904762,26.388,8.4
305-18-3552,Cairo,Mandalay,Member,Male,Home and lifestyle,60.38,10,30.19,633.99,2019-02-12,4:19:00 PM,Cash,603.8,4.761904762,30.19,6.0
627-95-3243,Cairo,Mandalay,Member,Female,Home and lifestyle,77.68,9,34.956,734.076,2019-02-04,1:21:00 PM,Ewallet,699.12,4.761904762,34.956,9.8
632-32-4574,Cairo,Mandalay,Normal,Male,Sports and travel,75.92,8,30.368,637.728,2019-03-20,2:14:00 PM,Cash,607.36,4.761904762,30.368,5.5
862-59-8517,Giza,Naypyitaw,Normal,Female,Food and beverages,90.24,6,27.072,568.512,2019-01-27,11:17:00 AM,Cash,541.44,4.761904762,27.072,6.2
862-17-9201,Cairo,Mandalay,Normal,Female,Food and beverages,84.05,6,25.215,529.515,2019-01-29,10:48:00 AM,Credit card,504.3,4.761904762,25.215,7.7
347-72-6115,Cairo,Mandalay,Member,Female,Sports and travel,90.74,7,31.759,666.939,2019-01-16,6:03:00 PM,Credit card,635.18,4.761904762,31.759,6.2
189-52-0236,Alex,Yangon,Normal,Male,Electronic accessories,99.55,7,34.8425,731.6925,2019-03-14,12:07:00 PM,Cash,696.85,4.761904762,34.8425,7.6
451-28-5717,Giza,Naypyitaw,Member,Female,Home and lifestyle,83.17,6,24.951,523.971,2019-03-20,11:23:00 AM,Cash,499.02,4.761904762,24.951,7.3
534-01-4457,Alex,Yangon,Normal,Male,Food and beverages,81.71,6,24.513,514.773,2019-01-27,2:36:00 PM,Credit card,490.26,4.761904762,24.513,8.0
827-44-5872,Cairo,Mandalay,Member,Female,Food and beverages,54.36,10,27.18,570.78,2019-02-07,11:28:00 AM,Credit card,543.6,4.761904762,27.18,6.1
827-77-7633,Alex,Yangon,Normal,Male,Sports and travel,98.09,9,44.1405,926.9505,2019-02-17,7:41:00 PM,Cash,882.81,4.761904762,44.1405,9.3
435-13-4908,Alex,Yangon,Member,Male,Fashion accessories,86.68,8,34.672,728.112,2019-01-24,6:04:00 PM,Credit card,693.44,4.761904762,34.672,7.2
358-88-9262,Giza,Naypyitaw,Member,Female,Food and beverages,87.48,6,26.244,551.124,2019-02-01,6:43:00 PM,Ewallet,524.88,4.761904762,26.244,5.1
541-48-8554,Alex,Yangon,Normal,Male,Sports and travel,60.95,9,27.4275,575.9775,2019-01-07,12:08:00 PM,Credit card,548.55,4.761904762,27.4275,6.0
582-52-8065,Cairo,Mandalay,Normal,Female,Fashion accessories,54.31,9,24.4395,513.2295,2019-02-22,10:49:00 AM,Cash,488.79,4.761904762,24.4395,8.9
210-57-1719,Cairo,Mandalay,Normal,Female,Health and beauty,58.24,9,26.208,550.368,2019-02-05,12:34:00 PM,Cash,524.16,4.761904762,26.208,9.7
283-26-5248,Giza,Naypyitaw,Member,Female,Food and beverages,98.52,10,49.26,1034.46,2019-01-30,8:23:00 PM,Ewallet,985.2,4.761904762,49.26,4.5
866-99-7614,Giza,Naypyitaw,Normal,Male,Food and beverages,89.2,10,44.6,936.6,2019-02-11,3:42:00 PM,Credit card,892.0,4.761904762,44.6,4.4
698-98-5964,Alex,Yangon,Normal,Female,Food and beverages,81.21,10,40.605,852.705,2019-01-17,1:01:00 PM,Credit card,812.1,4.761904762,40.605,6.3
718-57-9773,Giza,Naypyitaw,Normal,Female,Sports and travel,49.33,10,24.665,517.965,2019-02-03,4:40:00 PM,Credit card,493.3,4.761904762,24.665,9.4
651-88-7328,Alex,Yangon,Normal,Female,Fashion accessories,65.74,9,29.583,621.243,2019-01-01,1:55:00 PM,Cash,591.66,4.761904762,29.583,7.7
241-11-2261,Cairo,Mandalay,Normal,Female,Fashion accessories,79.86,7,27.951,586.971,2019-01-10,10:33:00 AM,Credit card,559.02,4.761904762,27.951,5.5
408-26-9866,Giza,Naypyitaw,Normal,Female,Sports and travel,73.98,7,25.893,543.753,2019-03-02,4:42:00 PM,Ewallet,517.86,4.761904762,25.893,4.1
339-96-8318,Cairo,Mandalay,Member,Male,Fashion accessories,81.31,7,28.4585,597.6285,2019-03-01,7:49:00 PM,Ewallet,569.17,4.761904762,28.4585,6.3
379-17-6588,Giza,Naypyitaw,Normal,Male,Fashion accessories,59.61,10,29.805,625.905,2019-03-14,11:07:00 AM,Cash,596.1,4.761904762,29.805,5.3
373-09-4567,Giza,Naypyitaw,Normal,Male,Food and beverages,77.56,10,38.78,814.38,2019-03-14,8:35:00 PM,Ewallet,775.6,4.761904762,38.78,6.9
277-35-5865,Giza,Naypyitaw,Member,Female,Food and beverages,98.97,9,44.5365,935.2665,2019-03-09,11:23:00 AM,Cash,890.73,4.761904762,44.5365,6.7
443-59-0061,Alex,Yangon,Member,Male,Food and beverages,67.45,10,33.725,708.225,2019-02-03,11:25:00 AM,Ewallet,674.5,4.761904762,33.725,4.2
828-46-6863,Alex,Yangon,Member,Male,Food and beverages,98.53,6,29.559,620.739,2019-01-23,11:22:00 AM,Credit card,591.18,4.761904762,29.559,4.0
670-79-6321,Cairo,Mandalay,Member,Female,Home and lifestyle,94.59,7,33.1065,695.2365,2019-01-17,3:27:00 PM,Credit card,662.13,4.761904762,33.1065,4.9
852-62-7105,Cairo,Mandalay,Normal,Female,Fashion accessories,83.25,10,41.625,874.125,2019-01-12,11:25:00 AM,Credit card,832.5,4.761904762,41.625,4.4
628-90-8624,Cairo,Mandalay,Member,Male,Health and beauty,82.58,10,41.29,867.09,2019-03-14,2:41:00 PM,Cash,825.8,4.761904762,41.29,5.0
149-61-1929,Alex,Yangon,Normal,Male,Sports and travel,64.19,10,32.095,673.995,2019-01-19,2:08:00 PM,Credit card,641.9,4.761904762,32.095,6.7
188-55-0967,Cairo,Mandalay,Member,Male,Health and beauty,66.47,10,33.235,697.935,2019-01-15,3:01:00 PM,Credit card,664.7,4.761904762,33.235,5.0
155-45-3814,Giza,Naypyitaw,Member,Female,Electronic accessories,88.55,8,35.42,743.82,2019-03-19,3:29:00 PM,Ewallet,708.4,4.761904762,35.42,4.7
131-15-8856,Giza,Naypyitaw,Member,Female,Food and beverages,72.52,8,29.008,609.168,2019-03-30,7:26:00 PM,Credit card,580.16,4.761904762,29.008,4.0
742-04-5161,Alex,Yangon,Member,Male,Home and lifestyle,72.78,10,36.39,764.19,2019-02-03,5:24:00 PM,Cash,727.8,4.761904762,36.39,7.3
641-51-2661,Giza,Naypyitaw,Member,Female,Food and beverages,87.1,10,43.55,914.55,2019-02-12,2:45:00 PM,Credit card,871.0,4.761904762,43.55,9.9
588-47-8641,Alex,Yangon,Member,Male,Fashion accessories,56.04,10,28.02,588.42,2019-01-14,7:30:00 PM,Ewallet,560.4,4.761904762,28.02,4.4
648-94-3045,Giza,Naypyitaw,Normal,Male,Health and beauty,58.95,10,29.475,618.975,2019-02-07,2:27:00 PM,Ewallet,589.5,4.761904762,29.475,8.1
648-83-1321,Alex,Yangon,Member,Male,Home and lifestyle,63.56,10,31.78,667.38,2019-01-16,5:59:00 PM,Cash,635.6,4.761904762,31.78,4.3
394-55-6384,Giza,Naypyitaw,Member,Female,Sports and travel,70.19,9,31.5855,663.2955,2019-01-25,1:38:00 PM,Cash,631.71,4.761904762,31.5855,6.7
689-05-1884,Alex,Yangon,Member,Male,Health and beauty,48.63,10,24.315,510.615,2019-03-04,12:44:00 PM,Cash,486.3,4.761904762,24.315,8.8
196-01-2849,Giza,Naypyitaw,Member,Female,Fashion accessories,73.38,7,25.683,539.343,2019-02-10,1:56:00 PM,Cash,513.66,4.761904762,25.683,9.5
868-06-0466,Alex,Yangon,Member,Male,Electronic accessories,69.58,9,31.311,657.531,2019-02-19,7:38:00 PM,Credit card,626.22,4.761904762,31.311,7.8
751-41-9720,Giza,Naypyitaw,Normal,Male,Home and lifestyle,97.5,10,48.75,1023.75,2019-01-12,4:18:00 PM,Ewallet,975.0,4.761904762,48.75,8.0
626-43-7888,Giza,Naypyitaw,Normal,Female,Fashion accessories,60.41,8,24.164,507.444,2019-02-07,12:23:00 PM,Ewallet,483.28,4.761904762,24.164,9.6
729-06-2010,Cairo,Mandalay,Member,Male,Health and beauty,80.47,9,36.2115,760.4415,2019-01-06,11:18:00 AM,Cash,724.23,4.761904762,36.2115,9.2
640-48-5028,Cairo,Mandalay,Member,Female,Home and lifestyle,88.39,9,39.7755,835.2855,2019-03-02,12:40:00 PM,Cash,795.51,4.761904762,39.7755,6.3
186-79-9562,Cairo,Mandalay,Normal,Male,Health and beauty,71.77,7,25.1195,527.5095,2019-03-29,2:06:00 PM,Cash,502.39,4.761904762,25.1195,8.9
786-94-2700,Alex,Yangon,Member,Male,Food and beverages,80.62,6,24.186,507.906,2019-02-28,8:18:00 PM,Cash,483.72,4.761904762,24.186,9.1
